,Month,Municipality,Offence group and specifier for criminal act,Information,value
192,2009M07,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
193,2009M07,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
194,2009M07,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
195,2009M07,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
196,2009M07,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
197,2009M07,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
198,2009M07,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
199,2009M07,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
200,2009M07,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
201,2009M07,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
202,2009M07,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
203,2009M07,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
204,2009M07,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
205,2009M07,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
206,2009M07,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
207,2009M07,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
208,2009M07,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
209,2009M07,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
210,2009M08,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),174.0
211,2009M08,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),73.0
212,2009M08,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),57.0
213,2009M08,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),30.0
214,2009M08,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),8.0
215,2009M08,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
216,2009M08,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
217,2009M08,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),16.0
218,2009M08,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),2.0
219,2009M08,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
220,2009M08,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),44.0
221,2009M08,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
222,2009M08,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
223,2009M08,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
224,2009M08,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
225,2009M08,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
226,2009M08,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
227,2009M08,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
228,2009M08,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
229,2009M08,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
230,2009M08,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
231,2009M08,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
232,2009M08,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
233,2009M08,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
234,2009M08,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
235,2009M08,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
